data,rain_sum,precipitation_sum,precipitation_hours,precipitation_probability_max,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_mean,windspeed_10m_max,et0_fao_evapotranspiration,shortwave_radiation_sum,precip_acum_3d,precip_acum_7d,precip_acum_14d,rain_lag1,rain_lag2,rain_trend
2026-04-29,1.3,25.2,8.0,100.0,28.9,17.5,21.4,85.0,10.3,2.89,14.67,45.400000000000006,45.4,46.5,1.3,2.8,0.0
2026-04-30,1.8,14.5,8.0,35.0,27.2,17.2,20.4,83.0,13.4,3.19,16.84,49.00000000000001,59.9,61.0,1.3,1.3,0.5
2026-05-01,0.1,0.4,4.0,47.0,27.1,18.6,22.1,77.0,10.5,2.61,13.2,40.1,60.3,61.4,1.8,1.3,-1.7
2026-05-02,0.7,0.8,2.0,65.0,28.1,19.6,22.9,68.0,16.1,3.81,17.15,15.700000000000006,61.1,61.1,0.1,1.8,0.6
2026-05-03,1.4,2.0,7.0,63.0,20.2,15.9,17.7,81.0,15.3,1.49,6.68,3.200000000000008,63.1,63.1,0.7,0.1,0.7
2026-05-04,1.4,1.8,6.0,67.0,25.6,14.7,19.3,78.0,12.7,2.99,16.04,4.600000000000008,54.0,64.9,1.4,0.7,0.0
2026-05-05,0.1,0.2,2.0,45.0,28.1,16.7,22.5,69.0,6.4,3.26,16.44,4.000000000000007,44.9,65.1,1.4,1.4,-1.2999999999999998
2026-05-06,0.0,0.0,0.0,0.0,29.0,18.0,23.2,64.0,9.5,3.82,18.45,2.000000000000007,19.7,65.1,0.1,1.4,-0.1
2026-05-07,0.0,0.0,0.0,0.0,29.6,17.9,24.1,54.0,15.5,4.59,18.27,0.2000000000000071,5.2,65.1,0.0,0.1,0.0
2026-05-08,0.0,0.0,0.0,0.0,29.9,21.9,25.4,48.0,22.4,5.06,15.43,0.0,4.8,65.1,0.0,0.0,0.0
2026-05-09,0.0,0.0,0.0,16.0,27.9,22.8,24.9,50.0,17.8,3.28,7.84,0.0,4.0,65.1,0.0,0.0,0.0
2026-05-10,4.1,9.3,11.0,81.0,28.1,16.1,21.9,63.0,16.7,3.25,13.74,9.300000000000008,11.3,74.4,0.0,0.0,4.1
2026-05-11,1.0,2.7,7.0,47.0,21.9,12.6,16.4,79.0,11.0,2.58,14.95,12.000000000000009,12.2,66.2,4.1,0.0,-3.1
2026-05-12,0.0,0.0,0.0,4.0,22.0,10.9,15.9,80.0,10.9,1.96,10.94,12.000000000000009,12.0,56.900000000000006,1.0,4.1,-1.0
