data,rain_sum,precipitation_sum,precipitation_hours,precipitation_probability_max,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_mean,windspeed_10m_max,et0_fao_evapotranspiration,shortwave_radiation_sum,precip_acum_3d,precip_acum_7d,precip_acum_14d,rain_lag1,rain_lag2,rain_trend
2026-03-25,1.7,2.0,8.0,90.0,27.5,17.8,22.1,78.0,16.5,3.99,20.26,2.000000000000007,18.6,72.4,0.0,0.0,1.7
2026-03-26,1.2,7.6,6.0,100.0,28.5,19.5,22.9,80.0,8.5,4.05,20.61,9.600000000000009,10.3,41.4,1.7,0.0,-0.5
2026-03-27,0.0,0.0,0.0,0.0,29.1,18.7,22.6,78.0,15.8,4.63,23.35,9.600000000000009,9.7,36.3,1.2,1.7,-1.2
2026-03-28,0.3,0.5,2.0,2.0,28.8,17.5,21.8,79.0,16.3,4.59,23.52,8.100000000000007,10.1,36.2,0.0,1.2,0.3
2026-03-29,0.0,0.0,0.0,2.0,29.5,17.9,22.1,80.0,12.3,4.64,23.46,0.5000000000000071,10.1,35.2,0.3,0.0,-0.3
2026-03-30,0.3,0.4,2.0,57.0,28.1,16.8,20.9,80.0,13.2,4.05,20.64,0.9000000000000071,10.5,35.599999999999994,0.0,0.3,0.3
2026-03-31,4.4,16.0,17.0,100.0,24.0,17.9,19.6,88.0,9.2,2.55,13.59,16.400000000000006,26.5,51.5,0.3,0.0,4.1000000000000005
2026-04-01,0.9,12.0,4.0,100.0,25.9,16.4,19.9,88.0,12.6,3.19,17.24,28.40000000000001,36.5,55.1,4.4,0.3,-3.5000000000000004
2026-04-02,2.6,15.9,15.0,100.0,26.8,18.6,21.6,84.0,14.8,3.76,20.16,43.900000000000006,44.8,55.1,0.9,4.4,1.7000000000000002
2026-04-03,0.1,0.4,2.0,98.0,28.0,18.4,22.2,79.0,13.1,4.19,21.53,28.300000000000008,45.2,54.9,2.6,0.9,-2.5
2026-04-04,0.5,6.0,6.0,82.0,28.4,18.5,22.3,83.0,10.7,3.99,20.79,22.30000000000001,50.7,60.8,0.1,2.6,0.4
2026-04-05,0.4,0.9,4.0,82.0,26.9,17.8,21.7,83.0,13.6,3.86,20.46,7.30000000000001,51.6,61.7,0.5,0.1,-0.0999999999999999
2026-04-06,0.1,0.9,4.0,80.0,27.1,18.9,21.8,85.0,13.0,3.66,19.12,7.800000000000009,52.1,62.6,0.4,0.5,-0.3
2026-04-07,1.7,2.3,12.0,91.0,27.3,19.6,22.1,85.0,9.5,3.02,15.24,4.1000000000000085,38.4,64.9,0.1,0.4,1.6
2026-04-08,0.7,1.3,6.0,60.0,24.6,19.3,22.0,82.0,20.9,2.36,10.51,4.500000000000009,27.7,64.2,1.7,0.1,-1.0
2026-04-09,1.2,3.0,13.0,100.0,25.2,18.8,20.8,85.0,13.2,2.57,13.21,6.6000000000000085,14.8,59.6,0.7,1.7,0.5
2026-04-10,0.7,2.5,6.0,95.0,22.0,16.4,18.4,85.0,11.4,2.2,12.26,6.800000000000009,16.9,62.1,1.2,0.7,-0.5
2026-04-11,0.0,0.0,0.0,2.0,24.4,15.1,18.7,79.0,14.9,3.6,19.91,5.500000000000009,10.9,61.6,0.7,1.2,-0.7
2026-04-12,0.0,0.1,1.0,4.0,26.5,14.3,19.3,80.0,13.2,4.03,22.04,2.600000000000009,10.1,61.7,0.0,0.7,0.0
2026-04-13,0.0,0.2,2.0,4.0,27.6,16.1,20.3,80.0,13.3,3.6,18.35,0.3000000000000089,9.4,61.50000000000001,0.0,0.0,0.0
2026-04-14,0.0,0.0,0.0,2.0,26.2,16.0,19.7,77.0,15.4,4.03,21.05,0.3000000000000089,7.1,45.5,0.0,0.0,0.0
2026-04-15,0.0,0.0,0.0,0.0,27.4,14.8,19.8,76.0,13.6,4.15,21.86,0.2000000000000089,5.8,33.5,0.0,0.0,0.0
2026-04-16,0.0,0.0,0.0,0.0,28.1,15.4,20.5,78.0,13.5,3.95,20.49,0.0,2.8,17.599999999999998,0.0,0.0,0.0
2026-04-17,0.0,0.0,0.0,12.0,28.7,16.6,22.4,67.0,9.9,4.3,20.46,0.0,0.3,17.2,0.0,0.0,0.0
2026-04-18,0.0,2.0,6.0,61.0,27.2,19.0,22.4,70.0,16.5,3.47,16.38,2.000000000000009,2.3,13.2,0.0,0.0,0.0
2026-04-19,0.0,0.1,1.0,0.0,27.9,15.8,20.9,76.0,13.2,4.03,20.51,2.100000000000009,2.3,12.4,0.0,0.0,0.0
2026-04-20,0.0,0.0,0.0,0.0,26.0,15.7,19.7,75.0,11.4,3.96,20.96,2.100000000000009,2.1,11.499999999999998,0.0,0.0,0.0
2026-04-21,0.0,0.0,0.0,0.0,25.9,14.9,19.2,76.0,13.7,3.79,19.87,0.1000000000000088,2.1,9.2,0.0,0.0,0.0
2026-04-22,0.0,0.0,0.0,0.0,27.0,15.7,19.8,76.0,12.8,3.85,20.36,0.0,2.1,7.899999999999999,0.0,0.0,0.0
2026-04-23,0.1,0.1,1.0,0.0,27.0,16.2,19.9,79.0,13.8,3.53,18.23,0.1000000000000088,2.2,5.0,0.0,0.0,0.1
2026-04-24,0.0,0.2,1.0,0.0,29.1,17.0,21.3,74.0,11.4,3.63,18.61,0.3000000000000089,2.4000000000000004,2.7,0.1,0.0,-0.1
2026-04-25,0.0,0.0,0.0,0.0,28.5,17.6,23.0,64.0,17.9,4.39,19.24,0.3000000000000089,0.4000000000000002,2.7,0.0,0.1,0.0
2026-04-26,0.0,0.0,0.0,4.0,29.6,18.0,24.0,61.0,20.2,4.65,19.08,0.2000000000000089,0.3000000000000002,2.6,0.0,0.0,0.0
2026-04-27,2.7,13.5,9.0,100.0,25.7,19.2,21.4,82.0,13.6,2.09,10.13,13.500000000000009,13.8,15.9,0.0,0.0,2.7
2026-04-28,1.0,11.4,15.0,100.0,26.2,18.5,20.6,90.0,9.4,2.33,12.02,24.90000000000001,25.200000000000003,27.3,2.7,0.0,-1.7000000000000002
2026-04-29,1.4,13.0,10.0,100.0,27.9,17.0,20.6,88.0,11.1,2.77,14.19,37.900000000000006,38.2,40.3,1.0,2.7,0.3999999999999999
2026-04-30,2.6,4.5,13.0,55.0,27.2,16.6,20.0,85.0,13.5,3.13,16.59,28.90000000000001,42.6,44.8,1.4,1.0,1.2000000000000002
2026-05-01,0.1,0.6,6.0,35.0,26.7,18.1,21.3,84.0,10.7,2.46,12.89,18.10000000000001,43.00000000000001,45.4,2.6,1.4,-2.5
2026-05-02,0.3,0.4,2.0,47.0,27.2,18.5,21.8,74.0,16.4,3.61,17.07,5.500000000000009,43.400000000000006,43.8,0.1,2.6,0.1999999999999999
2026-05-03,0.5,1.5,9.0,94.0,18.8,15.4,17.1,84.0,17.6,1.37,6.52,2.500000000000009,44.900000000000006,45.2,0.3,0.1,0.2
